Path,RoundFolder,Project,ProjectYear,Species,DirName,AuditFigName,BaseFigName,keep,BaseFigPath
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM02/KESRP_Lehua_2013_R1_CM02_dnnClass_HAPE_21May.csv,KESRP_Lehua_2013_r1,KESRP_Lehua_2013,2013,HAPE,KESRP_Lehua_2013_R1_CM02,KESRP_Lehua_2013_R1_CM02_dnnClass_HAPE_21May,KESRP_Lehua_2013_R1_CM02,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM02/KESRP_Lehua_2013_R1_CM02.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM02/KESRP_Lehua_2013_R1_CM02_dnnClass_audit_HAPE_21May.csv,KESRP_Lehua_2013_r1,KESRP_Lehua_2013,2013,HAPE,KESRP_Lehua_2013_R1_CM02,KESRP_Lehua_2013_R1_CM02_dnnClass_audit_HAPE_21May,KESRP_Lehua_2013_R1_CM02,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM02/KESRP_Lehua_2013_R1_CM02.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM07/KESRP_Lehua_2013_R1_CM07_dnnClass_HAPE_21May.csv,KESRP_Lehua_2013_r1,KESRP_Lehua_2013,2013,HAPE,KESRP_Lehua_2013_R1_CM07,KESRP_Lehua_2013_R1_CM07_dnnClass_HAPE_21May,KESRP_Lehua_2013_R1_CM07,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM07/KESRP_Lehua_2013_R1_CM07.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM07/KESRP_Lehua_2013_R1_CM07_dnnClass_audit_HAPE_21May.csv,KESRP_Lehua_2013_r1,KESRP_Lehua_2013,2013,HAPE,KESRP_Lehua_2013_R1_CM07,KESRP_Lehua_2013_R1_CM07_dnnClass_audit_HAPE_21May,KESRP_Lehua_2013_R1_CM07,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM07/KESRP_Lehua_2013_R1_CM07.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM08/KESRP_Lehua_2013_R1_CM08_dnnClass_HAPE_21May.csv,KESRP_Lehua_2013_r1,KESRP_Lehua_2013,2013,HAPE,KESRP_Lehua_2013_R1_CM08,KESRP_Lehua_2013_R1_CM08_dnnClass_HAPE_21May,KESRP_Lehua_2013_R1_CM08,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM08/KESRP_Lehua_2013_R1_CM08.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM08/KESRP_Lehua_2013_R1_CM08_dnnClass_audit_HAPE_21May.csv,KESRP_Lehua_2013_r1,KESRP_Lehua_2013,2013,HAPE,KESRP_Lehua_2013_R1_CM08,KESRP_Lehua_2013_R1_CM08_dnnClass_audit_HAPE_21May,KESRP_Lehua_2013_R1_CM08,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM08/KESRP_Lehua_2013_R1_CM08.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua1_28Feb14/Lehua1_28Feb14_dnnClass_audit_HAPE_21May.csv,KESRP_Lehua_2014_r2,KESRP_Lehua_2014,2014,HAPE,Lehua1_28Feb14,Lehua1_28Feb14_dnnClass_audit_HAPE_21May,Lehua1_28Feb14,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua1_28Feb14/Lehua1_28Feb14.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua1_28Feb14/Lehua1_28Feb14_dnnClass_HAPE_21May.csv,KESRP_Lehua_2014_r2,KESRP_Lehua_2014,2014,HAPE,Lehua1_28Feb14,Lehua1_28Feb14_dnnClass_HAPE_21May,Lehua1_28Feb14,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua1_28Feb14/Lehua1_28Feb14.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua1_28Feb14/Lehua1_28Feb14_audit_HAPE_21May.csv,KESRP_Lehua_2014_r2,KESRP_Lehua_2014,2014,HAPE,Lehua1_28Feb14,Lehua1_28Feb14_audit_HAPE_21May,Lehua1_28Feb14,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua1_28Feb14/Lehua1_28Feb14.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua2_28Feb14/Lehua2_28Feb14_dnnClass_HAPE_21May.csv,KESRP_Lehua_2014_r2,KESRP_Lehua_2014,2014,HAPE,Lehua2_28Feb14,Lehua2_28Feb14_dnnClass_HAPE_21May,Lehua2_28Feb14,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua2_28Feb14/Lehua2_28Feb14.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua2_28Feb14/Lehua2_28Feb14_dnnClass_audit_HAPE_21May.csv,KESRP_Lehua_2014_r2,KESRP_Lehua_2014,2014,HAPE,Lehua2_28Feb14,Lehua2_28Feb14_dnnClass_audit_HAPE_21May,Lehua2_28Feb14,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua2_28Feb14/Lehua2_28Feb14.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua3_28Feb14/Lehua3_28Feb14_dnnClass_HAPE_21May.csv,KESRP_Lehua_2014_r2,KESRP_Lehua_2014,2014,HAPE,Lehua3_28Feb14,Lehua3_28Feb14_dnnClass_HAPE_21May,Lehua3_28Feb14,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua3_28Feb14/Lehua3_28Feb14.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua3_28Feb14/Lehua3_28Feb14_dnnClass_audit_HAPE_21May.csv,KESRP_Lehua_2014_r2,KESRP_Lehua_2014,2014,HAPE,Lehua3_28Feb14,Lehua3_28Feb14_dnnClass_audit_HAPE_21May,Lehua3_28Feb14,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua3_28Feb14/Lehua3_28Feb14.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP/ROV4_June3_2013/ROV4_June3_2013_audit_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP,ROV4_June3_2013_audit_HAPE_21Apr14,ROV4_June3_2013,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP/ROV4_June3_2013/ROV4_June3_2013.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP/ROV4_June3_2013/ROV4_June3_2013_audit_ae_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP,ROV4_June3_2013_audit_ae_HAPE_21Apr14,ROV4_June3_2013,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP/ROV4_June3_2013/ROV4_June3_2013.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r2/9 July_ROV1/9 July_ROV1_audit_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_r2,9 July_ROV1_audit_HAPE_21Apr14,9 July_ROV1,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r2/9 July_ROV1/9 July_ROV1.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r2/9 July_ROV1/9 July_ROV1_audit_ae_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_r2,9 July_ROV1_audit_ae_HAPE_21Apr14,9 July_ROV1,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r2/9 July_ROV1/9 July_ROV1.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r2/July10_Pihea3/July10_Pihea3_audit_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_r2,July10_Pihea3_audit_HAPE_21Apr14,July10_Pihea3,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r2/July10_Pihea3/July10_Pihea3.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r2/July10_Pihea3/July10_Pihea3_audit_ae_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_r2,July10_Pihea3_audit_ae_HAPE_21Apr14,July10_Pihea3,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r2/July10_Pihea3/July10_Pihea3.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/NBOG2_Sept10_2013/NBOG2_Sept10_2013_audit_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_r3_sep13,NBOG2_Sept10_2013_audit_HAPE_21Apr14,NBOG2_Sept10_2013,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/NBOG2_Sept10_2013/NBOG2_Sept10_2013.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/NBOG2_Sept10_2013/NBOG2_Sept10_2013_audit_ae_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_r3_sep13,NBOG2_Sept10_2013_audit_ae_HAPE_21Apr14,NBOG2_Sept10_2013,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/NBOG2_Sept10_2013/NBOG2_Sept10_2013.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/Pohakea1_Aug13_2013/Pohakea1_Aug13_2013_audit_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_r3_sep13,Pohakea1_Aug13_2013_audit_HAPE_21Apr14,Pohakea1_Aug13_2013,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/Pohakea1_Aug13_2013/Pohakea1_Aug13_2013.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/Pohakea1_Aug13_2013/Pohakea1_Aug13_2013_audit_ae_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_r3_sep13,Pohakea1_Aug13_2013_audit_ae_HAPE_21Apr14,Pohakea1_Aug13_2013,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/Pohakea1_Aug13_2013/Pohakea1_Aug13_2013.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/Pohakea2_Aug13_2013/Pohakea2_Aug13_2013_audit_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_r3_sep13,Pohakea2_Aug13_2013_audit_HAPE_21Apr14,Pohakea2_Aug13_2013,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/Pohakea2_Aug13_2013/Pohakea2_Aug13_2013.fig
