audit_file,nneg,npos,outpath,outdir
\\NAS1\NAS1_2Jun14/Figs/ABC_BCPE_2014/CM25_SD25_2014/CM25_SD25_2014_audit_dnnClass_HAPE_18Jun14.fig,1388,6,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\ABC_BCPE_2014/CM25_SD25_2014/CM25_SD25_2014_audit_dnnClass_HAPE_18Jun14.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/ABC_BCPE_2014/CM25_SD25_2014
\\NAS1\NAS1_2Jun14/Figs/FirstWind_ROV_2013_r1/FWROV2/FWROV2/FWROV2_audit_HAPE_21Apr.fig,91,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FirstWind_ROV_2013_r1/FWROV2/FWROV2/FWROV2_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FirstWind_ROV_2013_r1/FWROV2/FWROV2
\\NAS1\NAS1_2Jun14/Figs/FirstWind_ROV_2013_r1/FWROV3/FWROV3/FWROV3_audit_HAPE_21Apr.fig,85,7,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FirstWind_ROV_2013_r1/FWROV3/FWROV3/FWROV3_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FirstWind_ROV_2013_r1/FWROV3/FWROV3
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R03/ROVFW1_11Nov/ROVFW1_11Nov_audit_HAPE_21Apr.fig,17,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R03/ROVFW1_11Nov/ROVFW1_11Nov_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R03/ROVFW1_11Nov
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R03/ROVFW4_11Nov/ROVFW4_11Nov_audit_HAPE_21Apr.fig,15,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R03/ROVFW4_11Nov/ROVFW4_11Nov_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R03/ROVFW4_11Nov
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R03/ROVFW6_11Nov/ROVFW6_11Nov_audit_HAPE_21Apr.fig,51,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R03/ROVFW6_11Nov/ROVFW6_11Nov_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R03/ROVFW6_11Nov
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R03/ROVFW7_11Nov/ROVFW7_11Nov_audit_HAPE_21Apr.fig,54,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R03/ROVFW7_11Nov/ROVFW7_11Nov_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R03/ROVFW7_11Nov
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R03/ROVFW8_11Nov/ROVFW8_11Nov_audit_HAPE_21Apr.fig,55,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R03/ROVFW8_11Nov/ROVFW8_11Nov_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R03/ROVFW8_11Nov
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R03/ROVFW9_11Nov/ROVFW9_11Nov_audit_HAPE_21Apr.fig,54,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R03/ROVFW9_11Nov/ROVFW9_11Nov_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R03/ROVFW9_11Nov
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R2/LEHU1_2September15/LEHU1_2September15_audit_HAPE_21Apr.fig,38,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R2/LEHU1_2September15/LEHU1_2September15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R2/LEHU1_2September15
